name,kegg,uniprot,sgd,entrez
YHR053C,sce:YHR053C,MTCU2_YEAST,S000001097,856450
YHR053C,sce:YHR053C,MTCU2_YEAST,S000001097,856452
YHR055C,sce:YHR055C,MTCU2_YEAST,S000001097,856450
YHR055C,sce:YHR055C,MTCU2_YEAST,S000001097,856452
YGL134W,sce:YGL134W,PCL10_YEAST,S000003102,852743
YLR258W,sce:YLR258W,GYS2_YEAST,S000004248,850962
YJL194W,sce:YJL194W,CDC6_YEAST,S000003730,853244
YBL026W,sce:YBL026W,LSM2_YEAST,S000000122,852255
YBL050W,sce:YBL050W,SEC17_YEAST,S000000146,852230
YHR084W,sce:YHR084W,STE12_YEAST,S000001126,856484
YBR274W,sce:YBR274W,CHK1_YEAST,S000000478,852577
YMR255W,sce:YMR255W,GFD1_YEAST,S000004868,855297
YLR452C,sce:YLR452C,SST2_YEAST,S000004444,851173
YHR005C,sce:YHR005C,GPA1_YEAST,S000001047,856394
YDR299W,sce:YDR299W,BFR2_YEAST,S000002707,851893
YIL074C,sce:YIL074C,SER33_YEAST,S000001336,854736
YOR120W,sce:YOR120W,GCY1_YEAST,S000005646,854287
YPR041W,sce:YPR041W,IF5_YEAST,S000006245,856154
YIL045W,sce:YIL045W,PIG2_YEAST,S000001307,854766
YDL215C,sce:YDL215C,DHE2_YEAST,S000002374,851311
YER079W,sce:YER079W,YEQ9_YEAST,S000000881,856812
YDL030W,sce:YDL030W,PRP9_YEAST,S000002188,851531
YMR005W,sce:YMR005W,TAF4_YEAST,S000004607,855017
YER124C,sce:YER124C,DSE1_YEAST,S000000926,856861
YGR085C,sce:YGR085C,RL11B_YEAST,S000003317,852976
YDR395W,sce:YDR395W,SXM1_YEAST,S000002803,852004
YGR088W,sce:YGR088W,CATT_YEAST,S000003320,852979
YER081W,sce:YER081W,SERA_YEAST,S000000883,856814
YPR113W,sce:YPR113W,PIS_YEAST,S000006317,856229
YIL070C,sce:YIL070C,MAM33_YEAST,S000001332,854740
YLR153C,sce:YLR153C,ACS2_YEAST,S000004143,850846
YGR046W,sce:YGR046W,TAM41_YEAST,S000003278,852937
YNL164C,sce:YNL164C,IBD2_YEAST,S000005108,855557
YDR070C,sce:YDR070C,FMP16_YEAST,S000002477,851642
YOR212W,sce:YOR212W,GBB_YEAST,S000005738,854387
YNL036W,sce:YNL036W,CAN_YEAST,S000004981,855692
YML114C,sce:YML114C,TAF8_YEAST,S000004582,854926
YMR117C,sce:YMR117C,SPC24_YEAST,S000004723,855144
YPR010C,sce:YPR010C,RPA2_YEAST,S000006214,856119
YOR215C,sce:YOR215C,AIM41_YEAST,S000005741,854390
YDL088C,sce:YDL088C,NUP59_YEAST,S000002246,851470
YLR197W,sce:YLR197W,NOP56_YEAST,S000004187,850894
YGL202W,sce:YGL202W,ARO8_YEAST,S000003170,852672
YGR074W,sce:YGR074W,SMD1_YEAST,S000003306,852964
YBR170C,sce:YBR170C,NPL4_YEAST,S000000374,852468
YGR136W,sce:YGR136W,LSB1_YEAST,S000003368,853037
YFR014C,sce:YFR014C,KCC1_YEAST,S000001910,850568
YDL075W,sce:YDL075W,RL31A_YEAST,S000002233,851484
YNL069C,sce:YNL069C,RL16B_YEAST,S000005013,855655
YIL052C,sce:YIL052C,RL34B_YEAST,S000001314,854759
YLR345W,sce:YLR345W,YL345_YEAST,S000004337,851059
YBL079W,sce:YBL079W,NU170_YEAST,S000000175,852199
YBR045C,sce:YBR045C,GIP1_YEAST,S000000249,852334
YER054C,sce:YER054C,GIP2_YEAST,S000000856,856781
YPR145W,sce:YPR145W,ASNS1_YEAST,S000006349,856268
YBR043C,sce:YBR043C,QDR3_YEAST,S000000247,852331
YDR277C,sce:YDR277C,MTH1_YEAST,S000002685,851870
YDL194W,sce:YDL194W,SNF3_YEAST,S000002353,851333
